name,logo,nativePaymentAsset,floorPrice,numOwners,totalSupply,sevenDayChange,sevenDayVolume,oneDayChange,oneDayVolume,thirtyDayChange,totalVolume
G.rilla OFFICIAL,https://lh3.googleusercontent.com/97GgxcGM-qnu20xEe0sPH1DlIHJB3R6tFcmkowW287_hXeala1o0Tu-AyHksa9DE5Q3npRbevahOkBGY7Fp9a4BFVMRK7N5vdvufDw=s120,KLAY,1520,4236,10000,-0.25445026523173814,595293.3275000002674689687127,1.6152790247225677,250371.0959999999418245665374,0,13936038.66809176507560416514
Meta Toy DragonZ,https://lh3.googleusercontent.com/02PLvfCkPwgAeWBEmRa0HjdfXAabG4-fE9zIrNmecO2YMJUax-ZzvlkqNzT7w2GS19-9us0eoFWvd7S6O2DrSKdW3DrXVlegY1Hefg=s120,KLAY,2699,2624,9726,-0.26005730562269136,551910.2631238568653766430122,0.9953075075702204,94774.07815251054925012802692,2.469873807268638,15241052.62959702429845879972
THE META KONGZ,https://lh3.googleusercontent.com/AX_uuKN-OFhtHXtzw5PJ3K-bGW5tg2svacBEv8xO_ii3UCEo6UTjqec4MiXFGP3gsxPD-p-W0d315pEvIOxG3pKNWfT3G8KvAgIl=s120,KLAY,16800,3003,9993,-0.2760853939889646,1299674.459440583236201136391,-0.17917588838977208,116253.9859048455130514302436,0.9570247967003006,23058309.55464575287168044480
Sunmiya Club Official,https://lh3.googleusercontent.com/f4gveNvJbpfeTVBrUHSMr5U9QlKPu-9yqzfg3gwe1dZST1iJra-5J-g1Tps5HttiSRQvcnR8wujMh1nqHWxg7E-yvmkz-dAjq7vR=s120,KLAY,599,3213,10000,-0.6301713294253822,253984.2203269535062379593728,-0.07672874574743167,39566.13152876338615602214256,0,6834053.669346715281298314922
SYLTARE-OFFICIAL,https://lh3.googleusercontent.com/riYV0mtDcxosNw5Z6d_AdBAd-tZJgjZNmSAJkVaW538rjtp0LVZFqCmre-73oVU-L_a4eR0ReOAXJX848IeqTr2dPJ7aQ1gM8iXM=s120,KLAY,2800,2410,9602,-0.8581521508021845,23433.13458677786496695686102,0,2508.900919355232279854658961,0.022402803864077763,12667116.49813336239238666569
"Meta Adventure, frozen",https://lh3.googleusercontent.com/F1HOms1IzBqhDeMetFKXY9oH6pNmqry_L6lvrP1iwo_K4twmTO9_PBii-Tav6_f7zqVR1_2CSvkn3XZ2O9todehAAZdStnYJp4p9bg=s120,KLAY,0.9,3394,9999,-0.8085148834645043,718966.7417410442824030043651,-1,0.000,0,4473654.075927463493818128612
METAMON PROJECT,https://lh3.googleusercontent.com/uHuULA3QrcMJGpYDx57wkLqfeZTeyp_k-vuQWPCaPwhYPUGTEWHLkZL7d_RtAoaaxcWNMmudNWVwFHhipLjCPRdTnAd_frnJs09M2g=s120,KLAY,127,1587,10000,-0.48915367580451224,45651.11511693118401492428122,0.10065966283899329,4468.636574243421635330553320,0,4414144.178827223697871095179
KlayCity District,https://lh3.googleusercontent.com/QJgoaGpc1G1Diea0vFP7JImvBF8F7OczTxdhHMUR1F439HNUooSdQxMhvRGwCPcFjJg9iERKqk4Lvz7qzxqBzQhqMKW925mPxKyJ=s120,KLAY,14300,643,1000,-0.7424293581624064,173683.0156137976720754993050,-0.09405075748620677,14506.83997549198975540761333,2.9442673807995767,4339217.923011559707913283098
Toxic Ape Official,https://lh3.googleusercontent.com/6Uhvh9DfXogEtRO6N3Xrylc7ZVAlD5gB94vy79QryaBD0jg269mtIdRg3tqEs7mcfCYwGUvKh0Df6M8wcdocR-Pg_gP41T4FJLTM=s120,KLAY,140,2795,9999,-0.09208688660609117,58905.44829029188247128539030,0.8211094015252005,10225.88708269319095520277026,0,3403225.887255035726693003634
"SYLTARE, Frozen",https://lh3.googleusercontent.com/sWsPZIov5KKOPsEJkt2OmwxGEkyQH65YDrZhqaX7I-Ayj-XQRNhdxyXwQniyi0GplXl_CHokEsgDRsGSBPD3P-Efg25_FsTzprq2Yw=s120,KLAY,300,2500,9142,-1,0.000,0,0.000,0,3340829.305635568169690540639
SheepFarm,https://lh3.googleusercontent.com/ynlAQE698lEpXooP100VUIGQIUdFapJZweh8WhPuvnucEuRv5DcL0PFo80dgkdiQY3ydUaTl7ZzsGl51NCNpuAp-Wxswlq1O6RS6JQ=s120,KLAY,1.2,19150,226009,0.8111710317809046,732003.4245149275271002511766,-0.08048184567284503,120392.1800000009509595922647,3.8106734906884974,4358954.345577166866305752676
"SYLTARE, Dawn of East",https://lh3.googleusercontent.com/sWsPZIov5KKOPsEJkt2OmwxGEkyQH65YDrZhqaX7I-Ayj-XQRNhdxyXwQniyi0GplXl_CHokEsgDRsGSBPD3P-Efg25_FsTzprq2Yw=s120,KLAY,1580,2275,9136,-0.6915830087631861,307230.2500000000731704343161,-0.03337264150943411,40985.00000000000119491794084,0,2374129.476511214045187407028
The Door of Dimension,https://lh3.googleusercontent.com/AX_uuKN-OFhtHXtzw5PJ3K-bGW5tg2svacBEv8xO_ii3UCEo6UTjqec4MiXFGP3gsxPD-p-W0d315pEvIOxG3pKNWfT3G8KvAgIl=s120,KLAY,1530,2763,9977,-0.1863370447309398,441394.5818987002472431536079,1.926819273546224,187744.1364742605246909064306,0,2231577.478388761027956202600
KlayCity MintPasses - Burned,https://lh3.googleusercontent.com/QJgoaGpc1G1Diea0vFP7JImvBF8F7OczTxdhHMUR1F439HNUooSdQxMhvRGwCPcFjJg9iERKqk4Lvz7qzxqBzQhqMKW925mPxKyJ=s120,KLAY,,671,935,-1,0.000,0,0.000,0,1498226.842734168393523057039
Age of Zen Heroes,https://lh3.googleusercontent.com/QhJRxfPxuXtm_KMuEkKDGskrsFSI8pC1mbTzpzx0q1Lr92C4IEJ6Ne_e4Wkht0rDphqzsLJP4mYW1eo8B5GBhE8vElzGWKtDveVqCQ=s120,KLAY,190,2430,7777,-0.7983422101692164,29958.11652644670167532372522,0.983445421624417,7606.105494183916784939156729,0,1485337.087143852370914721877
Drawshop Kingdom Reverse,https://lh3.googleusercontent.com/ZTk3z-AbXhHiUYi2krQgohfRkgsHeNz-F5_sk4U16_dgC3yxOdYpIx7xtrbY7hUKLolgz0tH5v0ezcQOAkHBKo5hfef1ZMJHR2CtjQk=s120,KLAY,11,1347,14222,0.16391811239846377,163883.9342129002602409344746,0.9939840697979825,16793.84051503402551027873290,34.82108858241174,1408097.701738639331155656351
Crypto SE7EN Society,https://lh3.googleusercontent.com/K2uYT-3mDPE4e6J7ByE63dV7jb7iKi634DIeNfdGNSAn6BEFs8ljqQknqDpFNPR_iDJCChKk--9K1AejsBbmuzQUxBqZSeEmmZG_63g=s120,KLAY,225,668,6873,-0.6615497408015361,51743.93493793750364815763162,-0.3715431415929201,9016.627405077178347599190382,0,1070518.263731160993976638135
renaissance-nft,https://lh3.googleusercontent.com/Ts5XfL9pWuVw2dE5CT9vxO4s0QLM2MGK028Xel22ZFCDTS_XYuRoY7jxN2awAYnibMHQtBwC7pckuUKTvl888lcQkQIndkGsXR1I=s120,KLAY,685,753,3094,-0.13668448464912306,50412.11866266735481990879606,0.5774096385542167,5239.298778257370305069866120,0.572409586881715,1611365.452038923920352622723
CYE ChuchuCAT V0,https://lh3.googleusercontent.com/bSq3kivPSaYTnfuGIgZYVcLsgImG4MZaiy7uNogj4q2EbDEtr9qNr-gy6DonP2V3qgjP7ypFsom0JKrF1PscJD8wJNdWT53Dm6xTFJQ=s120,KLAY,427,1199,3504,-0.0446304409442859,114490.7343234083765479064550,0.8039059823202905,26111.91490233374535079376692,3482.1862968481487,984977.8602682385627453849343
Re-Be World Land,https://lh3.googleusercontent.com/-I8fXkUyg8sBGPmWFkwaoNVfJ8Ah9afvJbt0ME9hWTpkFJw3WunWqXjjnCPTcniFNc7loNNT437kKv94LMHyXDuKSY6GMD2sJHEK=s120,KLAY,419,1424,6000,-0.4720168159915582,46911.95803711561502670275807,1.1067989877078817,2890.184193625478464652376424,7.596038899435441,1236442.495867360364886482796
META RABBITS OFFICIAL V1,https://lh3.googleusercontent.com/yKETJAg4En27JZdE48r0CF6X4oswkWUAfThZ3XJh3a9A4h74shln__qvhN8h3PNVWPDHhSb-1N3jaRKJrvOsOSW34XrpwJjCHCfx=s120,KLAY,255,805,5492,-0.5560547262620574,35909.49440812545097178530495,0.41326028622540223,6413.189970005120574536054820,1.1025293651158385,1377471.978514694364286585217
LARVA-OFFICIAL,https://lh3.googleusercontent.com/bIOycpBh_zsAPkyALAypClW4krCRg59qvylGApGDRRHNH2UHMSKQq6G4iO_L1rPvEpQjujYzJv5Aucc9sDFpB4Bv4vttF9cK7xko=s120,KLAY,299,3217,9997,-0.7404896747045346,178241.1567498237061818713878,0.18364750458824197,19831.61073085082482015265686,0,865077.6305852584296534737972
SE7EN-VIAL,https://lh3.googleusercontent.com/4Jrk8Y_VEzcIuWwVp9s5PX-c5zdvUyAaA8Y3tLQyBWAa9iloIbrLjvyKuvUlBA-C821yNb3HQWAvbd0WbiY_58GE7rtOId6Q9FouyWA=s120,KLAY,445,770,7767,-0.6875,507.3645962884386031653132392,0,0.000,1.3685178467717738,1200124.515011634900614529227
My Fat Babiz,https://lh3.googleusercontent.com/PQz5C64nVft1p9-WWtXbDupnYbpzYTDd5jDnndK0SafevTj5VkFFa51BGmbklQt1YdNbPL7gy_6ZnWk2picW51HqJ2n03VSktEqkDSg=s120,KLAY,152,517,9200,-0.7137840207002187,58722.90700000006106030677689,-0.4872403888643397,9282.999999999998639256712269,0.5194394940158433,1100463.687600995946118955300
Angry Polar Bears,https://lh3.googleusercontent.com/sUeYMmIweh32MmnE12UIUT30kQdwkWrcWfignVUG6Svup8m-MDJacnaU_lYzT64IUoG0rnwbua64Gb-VBqNOcul-AyYnzcCi47Cjmg=s120,KLAY,89,1668,8969,-0.5656295558309471,38404.56375935814785524422660,0.7648369416278424,6387.908543419412622235228132,0,586166.7022396249148145438584
KLAY APE CLUB,https://lh3.googleusercontent.com/75B-5EyX6JD94YaePcqZqR9lo-euI_Z5uspmNCNXt27oO0ipAv1YQUb7wj0rydtHGLU2d_n5btI_wzNWxu-cgQsdDrnEyGpVNAwSZg=s120,KLAY,399,1255,10000,4.329293138575226,153085.2721730435359719072354,-0.6065111595905354,11629.36630331406513522081596,0.38325462482592393,1311729.773701326136210890824
Gaia Kronos,https://lh3.googleusercontent.com/4i1fVTYmdwPIYeLpbFdykieHtWBz_DqY_-JAgrgPzQ8AxtXjZBSEfg1JbHPCsdnOTt8J4ip6NFF9306IA7GsPC4Xw_SvnYAyjO5XzQ=s120,KLAY,2080,761,2177,0.44294722072499826,167294.6437437510396249420831,0.3740563477574379,27623.21671909673481844563123,5.960949319213325,584607.7679420584857365815592
METABUMZ-OFFICIAL,https://lh3.googleusercontent.com/C0kjT4M9Iac_N2hFjOXqFb8fWWnnPH7FFHS5Wu31kg9r2hsbX21RB_TQIWnoEIZavQyrfMxKZZ-9eNMVdwzj-LUTbkNGToBHainDPwc=s120,KLAY,315,2726,3829,0,469685.5129083529994439973663,0.5354929956896557,11307.48560001951154437047333,0,469685.5129083529994439973663
CyberTHUG Genesis Club,https://lh3.googleusercontent.com/sXujk_OwVceWGVFVDaw19nS9l73JxKbxPht2i0LKSyV2FlPv4YbBqUNj7M-6kONGxyySyP-UW34gKyZGEzkdvqNXmieOW7wLEl-HNA=s120,KLAY,200,1031,10000,0.10021032951624259,23348.99807349965122540054137,-0.5400768245838669,1781.503060453093145072792450,1.1525100866731077,651840.4515494422092764649938
DSC | DIGITAL IDENTITY,https://lh3.googleusercontent.com/GFwdjFVKsdzLH_4l4yb2wriUTpxP13-SfxxCL1zFX-xd2PrsYtjM3ZSsoI_iRBzBeA_0AV-hq3b4M81iuQ5SOzobf92SYViuHDIh=s120,KLAY,474,1761,10000,-0.21504506917651672,31684.34041983075141805057673,-0.32573486369392635,4665.038359304508688760455532,-0.3739649113492627,9997552.611649411564908430268
ElectroPixelKongz,https://lh3.googleusercontent.com/Bi3eu_8BQTBLS53GdrX1K1iFHkAvUxoLQXy_70gmcVK_ksKUyXYFHbfYjszACTiGwYOYvBaBf3nbdbTr-PSAUcaD5obG9d6lIi4eFA=s120,KLAY,85,1806,9917,0.2262819246159163,19698.60307752334983295534909,-0.5576018006957234,2144.548784353890245567829883,0.32236886507527435,1921761.281293469390538200795
BomulPlanet Season One,https://lh3.googleusercontent.com/ZktcTx7XSxAE9eFJ0Oe5qG2psnMjXS8CMoOSZoQ6YG2RnYaD2IbmB_Go03WHDqf9ZflBcOU_4BZ4egCQ711cjtv-LIezdFbhBYZr1Q=s120,KLAY,4150,388,5111,-0.317174081612872,79855.90828809715871436583998,3.9677272727272728,22524.82171336601037871582900,0,359472.6438375740343624259273
